temperature,rain,light,soil,umbrella
38.81,True,LOW,DRY,OPEN
35.52,False,HIGH,MOIST,CLOSED
34.71,False,HIGH,DRY,CLOSED
29.99,True,HIGH,DRY,OPEN
30.57,False,HIGH,MOIST,CLOSED
34.88,True,HIGH,MOIST,OPEN
20.76,True,HIGH,MOIST,OPEN
37.43,False,LOW,DRY,CLOSED
30.29,True,LOW,DRY,OPEN
39.37,True,HIGH,MOIST,OPEN
38.82,True,LOW,MOIST,OPEN
30.23,True,LOW,DRY,OPEN
22.99,False,HIGH,MOIST,CLOSED
26.25,False,HIGH,DRY,CLOSED
25.35,False,LOW,DRY,CLOSED
30.52,True,LOW,DRY,OPEN
35.36,True,HIGH,DRY,OPEN
22.65,False,LOW,DRY,CLOSED
27.71,False,HIGH,MOIST,CLOSED
35.54,False,LOW,MOIST,CLOSED
26.64,True,HIGH,DRY,OPEN
32.48,True,LOW,DRY,OPEN
30.51,False,HIGH,DRY,CLOSED
31.33,False,HIGH,MOIST,CLOSED
20.81,False,LOW,MOIST,CLOSED
26.85,True,HIGH,MOIST,OPEN
33.0,False,HIGH,MOIST,CLOSED
32.66,True,LOW,DRY,OPEN
26.16,True,HIGH,DRY,OPEN
20.67,True,HIGH,DRY,OPEN
37.03,True,LOW,MOIST,OPEN
31.01,False,LOW,MOIST,CLOSED
26.66,False,HIGH,DRY,CLOSED
24.27,False,LOW,DRY,CLOSED
26.03,False,HIGH,MOIST,CLOSED
37.29,False,HIGH,DRY,CLOSED
33.13,False,HIGH,MOIST,CLOSED
31.29,True,HIGH,DRY,OPEN
29.63,True,LOW,DRY,OPEN
37.49,True,LOW,DRY,OPEN
24.53,False,LOW,DRY,CLOSED
31.91,True,LOW,MOIST,OPEN
29.63,True,LOW,DRY,OPEN
28.78,False,HIGH,DRY,CLOSED
21.26,False,LOW,MOIST,CLOSED
37.61,True,LOW,DRY,OPEN
29.5,True,LOW,MOIST,OPEN
27.85,False,LOW,DRY,CLOSED
34.91,False,HIGH,DRY,CLOSED
25.2,False,HIGH,DRY,CLOSED
25.26,False,HIGH,DRY,CLOSED
36.17,True,HIGH,MOIST,OPEN
34.12,True,HIGH,DRY,OPEN
28.69,False,LOW,DRY,CLOSED
39.94,True,LOW,MOIST,OPEN
32.68,False,HIGH,DRY,CLOSED
35.63,False,LOW,MOIST,CLOSED
24.29,False,HIGH,MOIST,CLOSED
26.85,True,HIGH,MOIST,OPEN
25.97,False,HIGH,DRY,CLOSED
25.35,False,HIGH,MOIST,CLOSED
22.05,False,HIGH,MOIST,CLOSED
28.58,True,LOW,MOIST,OPEN
20.79,False,LOW,DRY,CLOSED
31.04,False,LOW,DRY,CLOSED
37.35,True,HIGH,MOIST,OPEN
28.93,True,HIGH,DRY,OPEN
34.3,True,HIGH,DRY,OPEN
39.42,True,LOW,MOIST,OPEN
21.96,False,LOW,MOIST,CLOSED
32.08,True,HIGH,DRY,OPEN
37.26,False,HIGH,MOIST,CLOSED
38.44,True,HIGH,MOIST,OPEN
29.85,False,LOW,DRY,CLOSED
38.34,True,LOW,DRY,OPEN
23.5,False,HIGH,DRY,CLOSED
28.02,True,LOW,DRY,OPEN
21.88,True,LOW,DRY,OPEN
23.66,False,HIGH,MOIST,CLOSED
31.65,True,LOW,DRY,OPEN
35.32,True,HIGH,MOIST,OPEN
25.85,False,HIGH,DRY,CLOSED
27.46,True,LOW,DRY,OPEN
28.66,False,LOW,MOIST,CLOSED
22.87,False,LOW,MOIST,CLOSED
30.98,False,LOW,DRY,CLOSED
22.41,True,HIGH,DRY,OPEN
20.59,False,HIGH,DRY,CLOSED
21.65,False,LOW,MOIST,CLOSED
23.11,True,LOW,MOIST,OPEN
28.75,True,HIGH,DRY,OPEN
34.25,True,HIGH,MOIST,OPEN
26.59,False,LOW,DRY,CLOSED
35.89,False,LOW,DRY,CLOSED
22.34,True,LOW,MOIST,OPEN
29.65,False,HIGH,DRY,CLOSED
25.86,True,HIGH,MOIST,OPEN
26.52,True,LOW,MOIST,OPEN
36.39,True,LOW,DRY,OPEN
20.53,False,HIGH,DRY,CLOSED
29.51,True,HIGH,MOIST,OPEN
28.12,False,LOW,DRY,CLOSED
38.96,False,LOW,MOIST,CLOSED
26.55,False,HIGH,MOIST,CLOSED
29.13,True,LOW,DRY,OPEN
20.37,False,LOW,DRY,CLOSED
38.05,True,HIGH,DRY,OPEN
25.89,False,LOW,MOIST,CLOSED
29.54,False,LOW,MOIST,CLOSED
34.65,False,HIGH,DRY,CLOSED
22.91,False,LOW,DRY,CLOSED
24.02,False,LOW,MOIST,CLOSED
36.35,True,LOW,DRY,OPEN
27.5,True,HIGH,MOIST,OPEN
31.72,False,HIGH,DRY,CLOSED
35.16,True,HIGH,MOIST,CLOSED
30.3,False,HIGH,MOIST,CLOSED
39.26,True,LOW,MOIST,OPEN
22.44,True,HIGH,DRY,OPEN
32.96,False,LOW,MOIST,CLOSED
20.39,True,HIGH,DRY,OPEN
21.66,False,LOW,MOIST,CLOSED
21.01,True,LOW,MOIST,OPEN
38.8,True,LOW,MOIST,OPEN
33.87,False,LOW,DRY,CLOSED
29.23,False,HIGH,DRY,CLOSED
29.12,False,HIGH,MOIST,CLOSED
20.29,True,HIGH,MOIST,OPEN
35.52,False,LOW,DRY,CLOSED
36.79,True,HIGH,DRY,OPEN
29.39,True,LOW,MOIST,OPEN
20.94,True,LOW,DRY,OPEN
31.53,False,LOW,MOIST,CLOSED
38.01,True,HIGH,MOIST,OPEN
38.26,True,LOW,DRY,OPEN
21.5,False,HIGH,MOIST,CLOSED
30.5,True,HIGH,MOIST,OPEN
36.78,False,LOW,DRY,CLOSED
38.39,False,LOW,DRY,CLOSED
21.27,True,LOW,MOIST,OPEN
25.13,False,HIGH,MOIST,CLOSED
37.4,False,HIGH,MOIST,CLOSED
21.22,True,HIGH,MOIST,OPEN
29.42,True,HIGH,DRY,OPEN
28.0,False,LOW,DRY,CLOSED
33.67,True,LOW,MOIST,OPEN
25.78,False,HIGH,DRY,CLOSED
26.56,False,HIGH,MOIST,CLOSED
37.12,True,LOW,DRY,OPEN
31.12,True,HIGH,MOIST,OPEN
32.95,False,LOW,DRY,CLOSED
20.12,True,LOW,DRY,OPEN
28.7,True,HIGH,DRY,OPEN
36.68,True,HIGH,MOIST,OPEN
27.95,False,LOW,DRY,CLOSED
20.61,False,LOW,DRY,CLOSED
32.88,True,LOW,DRY,OPEN
20.36,True,HIGH,MOIST,OPEN
32.55,False,HIGH,DRY,CLOSED
20.2,False,HIGH,MOIST,CLOSED
28.04,True,LOW,MOIST,OPEN
25.13,True,HIGH,DRY,OPEN
36.2,False,HIGH,DRY,CLOSED
28.74,True,LOW,DRY,OPEN
35.55,True,LOW,DRY,OPEN
34.95,True,HIGH,DRY,OPEN
31.89,True,LOW,DRY,OPEN
21.73,False,HIGH,MOIST,CLOSED
33.23,True,LOW,DRY,OPEN
25.92,False,HIGH,DRY,CLOSED
36.93,False,LOW,MOIST,CLOSED
23.33,True,HIGH,DRY,OPEN
20.57,True,LOW,MOIST,OPEN
30.18,True,HIGH,MOIST,OPEN
30.31,True,HIGH,DRY,OPEN
35.2,False,LOW,DRY,OPEN
33.94,False,LOW,DRY,OPEN
20.16,False,HIGH,MOIST,CLOSED
21.56,False,LOW,MOIST,CLOSED
27.24,False,LOW,DRY,CLOSED
29.77,True,HIGH,DRY,OPEN
32.48,True,LOW,MOIST,OPEN
29.03,True,HIGH,MOIST,OPEN
34.66,True,LOW,DRY,OPEN
39.02,True,HIGH,DRY,OPEN
20.32,True,LOW,DRY,OPEN
27.54,False,HIGH,MOIST,CLOSED
39.85,True,LOW,DRY,OPEN
36.82,False,LOW,DRY,OPEN
31.22,True,HIGH,MOIST,OPEN
36.64,False,HIGH,MOIST,OPEN
34.16,True,HIGH,MOIST,OPEN
20.22,True,HIGH,MOIST,OPEN
33.44,False,LOW,MOIST,OPEN
22.72,True,HIGH,MOIST,OPEN
21.09,False,LOW,MOIST,CLOSED
35.79,True,LOW,MOIST,OPEN
38.38,False,HIGH,MOIST,OPEN
21.2,False,HIGH,DRY,CLOSED
28.31,True,LOW,MOIST,OPEN
39.16,True,HIGH,MOIST,OPEN
33.5,True,LOW,DRY,OPEN
25.66,False,HIGH,DRY,CLOSED
38.29,True,HIGH,DRY,OPEN
26.43,False,LOW,MOIST,CLOSED
28.15,False,LOW,MOIST,CLOSED
23.56,False,LOW,DRY,CLOSED
37.36,True,LOW,DRY,OPEN
36.17,False,LOW,DRY,OPEN
28.48,False,HIGH,MOIST,CLOSED
39.08,False,LOW,DRY,OPEN
35.33,False,LOW,MOIST,OPEN
32.35,False,HIGH,DRY,OPEN
20.98,False,HIGH,MOIST,CLOSED
35.01,False,HIGH,MOIST,OPEN
30.89,True,LOW,MOIST,OPEN
24.4,True,LOW,MOIST,OPEN
28.16,False,HIGH,MOIST,CLOSED
30.22,False,HIGH,MOIST,OPEN
32.48,True,LOW,MOIST,OPEN
23.93,False,HIGH,MOIST,CLOSED
21.65,False,HIGH,DRY,CLOSED
33.55,True,HIGH,DRY,OPEN
24.42,False,HIGH,MOIST,CLOSED
27.52,True,LOW,MOIST,OPEN
29.7,False,LOW,DRY,CLOSED
39.26,True,LOW,DRY,OPEN
31.54,False,HIGH,MOIST,OPEN
25.78,True,LOW,DRY,OPEN
32.69,False,HIGH,DRY,OPEN
35.9,True,LOW,DRY,OPEN
32.7,False,HIGH,MOIST,OPEN
35.68,True,HIGH,MOIST,OPEN
31.2,True,LOW,DRY,OPEN
26.8,True,HIGH,MOIST,OPEN
35.91,True,LOW,MOIST,OPEN
25.74,True,LOW,DRY,OPEN
39.48,False,HIGH,MOIST,OPEN
36.03,True,LOW,DRY,OPEN
32.4,True,HIGH,MOIST,OPEN
24.27,False,LOW,MOIST,CLOSED
37.42,False,HIGH,MOIST,OPEN
24.72,False,LOW,MOIST,CLOSED
28.7,False,HIGH,MOIST,CLOSED
22.38,False,HIGH,DRY,CLOSED
36.52,False,HIGH,MOIST,OPEN
30.4,True,LOW,DRY,OPEN
20.27,False,HIGH,MOIST,CLOSED
24.71,True,LOW,MOIST,OPEN
21.31,False,LOW,MOIST,CLOSED
29.49,True,LOW,DRY,OPEN
31.93,True,LOW,DRY,OPEN
32.14,True,HIGH,DRY,OPEN
28.23,False,HIGH,DRY,CLOSED
28.24,True,LOW,MOIST,OPEN
33.39,False,LOW,DRY,OPEN
34.73,False,LOW,MOIST,OPEN
21.65,False,LOW,MOIST,CLOSED
36.68,True,HIGH,MOIST,OPEN
21.86,False,HIGH,DRY,CLOSED
31.93,False,LOW,MOIST,OPEN
34.65,True,LOW,DRY,OPEN
22.47,True,HIGH,DRY,OPEN
36.89,True,HIGH,DRY,OPEN
31.84,False,HIGH,MOIST,OPEN
28.4,True,LOW,DRY,OPEN
31.78,True,LOW,MOIST,OPEN
27.04,True,HIGH,MOIST,OPEN
30.76,False,LOW,DRY,OPEN
24.18,False,LOW,MOIST,CLOSED
34.59,True,LOW,MOIST,OPEN
31.65,True,LOW,DRY,OPEN
26.61,True,HIGH,MOIST,OPEN
32.8,False,LOW,MOIST,OPEN
24.78,False,LOW,MOIST,CLOSED
33.63,False,LOW,DRY,OPEN
32.35,True,LOW,MOIST,OPEN
27.02,True,LOW,MOIST,OPEN
34.26,False,LOW,DRY,OPEN
22.7,False,LOW,DRY,CLOSED
32.03,False,HIGH,DRY,OPEN
25.86,False,LOW,DRY,CLOSED
37.08,False,LOW,DRY,OPEN
25.49,False,HIGH,MOIST,CLOSED
34.4,False,LOW,DRY,OPEN
30.13,False,LOW,DRY,OPEN
29.35,False,LOW,MOIST,CLOSED
38.17,True,HIGH,DRY,OPEN
25.97,True,LOW,DRY,OPEN
21.49,False,HIGH,MOIST,CLOSED
28.23,True,HIGH,DRY,OPEN
28.44,False,HIGH,MOIST,CLOSED
20.08,True,LOW,DRY,OPEN
29.2,False,LOW,MOIST,CLOSED
39.1,False,LOW,DRY,OPEN
29.3,True,HIGH,MOIST,OPEN
23.66,False,HIGH,DRY,CLOSED
23.01,False,HIGH,DRY,CLOSED
33.06,True,HIGH,DRY,OPEN
27.84,True,HIGH,MOIST,OPEN
31.61,False,HIGH,MOIST,OPEN
23.81,False,HIGH,MOIST,CLOSED
30.13,False,HIGH,DRY,OPEN
38.93,True,LOW,DRY,OPEN
27.89,False,LOW,DRY,CLOSED
25.03,True,HIGH,MOIST,OPEN
21.03,True,LOW,DRY,OPEN
32.75,False,HIGH,DRY,OPEN
25.65,True,LOW,MOIST,OPEN
24.45,False,HIGH,DRY,CLOSED
24.45,True,LOW,MOIST,OPEN
28.22,False,LOW,MOIST,CLOSED
27.1,True,HIGH,DRY,OPEN
26.8,False,LOW,DRY,CLOSED
28.33,True,HIGH,MOIST,OPEN
22.41,False,HIGH,MOIST,CLOSED
38.54,False,LOW,DRY,OPEN
30.85,False,HIGH,DRY,OPEN
28.22,False,LOW,DRY,CLOSED
23.65,False,LOW,DRY,CLOSED
39.69,True,HIGH,MOIST,OPEN
21.99,True,HIGH,MOIST,OPEN
35.06,False,HIGH,DRY,OPEN
25.52,True,LOW,MOIST,OPEN
36.71,False,HIGH,DRY,OPEN
32.9,True,LOW,MOIST,OPEN
22.4,True,LOW,MOIST,OPEN
37.87,False,LOW,MOIST,OPEN
27.26,True,HIGH,MOIST,OPEN
38.24,False,HIGH,DRY,OPEN
25.01,False,LOW,DRY,CLOSED
25.57,False,HIGH,MOIST,CLOSED
31.45,True,HIGH,MOIST,OPEN
34.17,True,HIGH,DRY,OPEN
21.59,True,LOW,MOIST,OPEN
28.29,True,LOW,MOIST,OPEN
31.16,False,HIGH,DRY,OPEN
33.95,True,LOW,MOIST,OPEN
38.02,False,LOW,DRY,OPEN
31.4,True,LOW,MOIST,OPEN
36.11,True,HIGH,MOIST,OPEN
39.5,False,HIGH,MOIST,OPEN
31.1,True,LOW,MOIST,OPEN
32.85,True,LOW,DRY,OPEN
25.53,True,HIGH,MOIST,OPEN
31.23,True,HIGH,DRY,OPEN
35.49,False,LOW,MOIST,OPEN
23.83,True,LOW,MOIST,OPEN
21.73,True,LOW,DRY,OPEN
25.69,True,LOW,DRY,OPEN
29.38,True,HIGH,MOIST,OPEN
38.2,True,LOW,MOIST,OPEN
23.97,True,HIGH,DRY,OPEN
38.49,True,LOW,DRY,OPEN
34.81,True,HIGH,MOIST,OPEN
38.29,True,LOW,MOIST,OPEN
38.83,False,HIGH,DRY,OPEN
37.78,True,LOW,MOIST,OPEN
36.32,True,LOW,MOIST,OPEN
33.2,True,LOW,DRY,OPEN
30.79,True,HIGH,DRY,OPEN
26.58,True,LOW,DRY,OPEN
39.16,False,LOW,DRY,OPEN
27.66,False,LOW,MOIST,CLOSED
32.93,True,HIGH,MOIST,OPEN
34.55,True,LOW,MOIST,OPEN
27.79,False,HIGH,MOIST,CLOSED
37.85,True,LOW,DRY,OPEN
33.44,False,LOW,DRY,OPEN
39.68,True,HIGH,DRY,OPEN
29.2,False,LOW,DRY,CLOSED
27.16,True,HIGH,MOIST,OPEN
20.37,False,LOW,MOIST,CLOSED
37.08,True,HIGH,DRY,OPEN
25.67,False,HIGH,DRY,CLOSED
25.46,False,LOW,DRY,CLOSED
31.39,False,HIGH,MOIST,OPEN
29.48,True,LOW,DRY,OPEN
24.3,False,HIGH,MOIST,CLOSED
20.64,True,LOW,DRY,OPEN
30.69,False,LOW,MOIST,OPEN
34.14,True,LOW,DRY,OPEN
35.75,True,HIGH,DRY,OPEN
38.4,True,HIGH,MOIST,OPEN
35.34,False,LOW,MOIST,OPEN
21.01,False,HIGH,DRY,CLOSED
22.66,False,HIGH,DRY,CLOSED
29.93,False,LOW,DRY,CLOSED
32.77,True,LOW,DRY,OPEN
32.2,False,LOW,MOIST,OPEN
20.01,False,LOW,DRY,CLOSED
27.25,False,LOW,MOIST,CLOSED
38.0,False,LOW,MOIST,OPEN
38.95,False,HIGH,MOIST,OPEN
25.46,True,LOW,DRY,OPEN
39.43,True,LOW,DRY,OPEN
39.52,False,HIGH,MOIST,OPEN
36.74,False,LOW,DRY,OPEN
21.11,True,HIGH,DRY,OPEN
36.35,False,HIGH,MOIST,OPEN
32.71,True,HIGH,DRY,OPEN
33.39,True,LOW,DRY,OPEN
24.75,False,HIGH,DRY,CLOSED
36.23,True,HIGH,MOIST,OPEN
29.09,False,LOW,MOIST,CLOSED
39.09,True,LOW,DRY,OPEN
33.81,False,LOW,MOIST,OPEN
28.97,True,HIGH,MOIST,OPEN
37.06,True,LOW,MOIST,OPEN
38.18,True,HIGH,MOIST,OPEN
32.42,False,HIGH,DRY,OPEN
21.21,True,LOW,MOIST,OPEN
28.53,False,LOW,MOIST,CLOSED
20.42,True,LOW,MOIST,OPEN
24.87,True,LOW,DRY,OPEN
28.21,False,HIGH,DRY,CLOSED
38.36,False,HIGH,MOIST,OPEN
25.29,True,LOW,DRY,OPEN
38.4,True,HIGH,DRY,OPEN
39.23,False,LOW,MOIST,OPEN
33.08,False,HIGH,DRY,OPEN
38.36,False,LOW,DRY,OPEN
33.98,False,LOW,DRY,OPEN
31.7,False,LOW,DRY,OPEN
39.45,False,LOW,MOIST,OPEN
20.89,True,LOW,MOIST,OPEN
23.45,False,MOIST,CLOSED
20.04,False,MOIST,CLOSED
38.26,False,DRY,OPEN
23.82,True,DRY,CLOSED
35.9,True,DRY,CLOSED
27.31,False,DRY,CLOSED
35.96,False,DRY,OPEN
31.91,False,MOIST,OPEN
26.19,False,DRY,CLOSED
36.79,False,MOIST,OPEN
29.97,False,MOIST,CLOSED
31.11,True,MOIST,OPEN
20.8,False,MOIST,CLOSED
27.96,False,MOIST,CLOSED
36.52,True,DRY,CLOSED
34.31,True,MOIST,OPEN
20.57,False,MOIST,CLOSED
29.66,False,MOIST,CLOSED
36.42,True,DRY,CLOSED
22.12,False,MOIST,CLOSED
22.33,True,MOIST,OPEN
31.64,False,DRY,OPEN
39.18,True,MOIST,OPEN
20.0,False,MOIST,CLOSED
39.55,False,DRY,OPEN
25.15,True,MOIST,OPEN
34.06,True,DRY,CLOSED
31.98,True,DRY,CLOSED
32.39,True,DRY,CLOSED
31.77,True,MOIST,OPEN
33.65,True,DRY,CLOSED
21.19,True,DRY,CLOSED
38.89,False,MOIST,OPEN
22.52,True,MOIST,OPEN
37.2,False,MOIST,OPEN
33.21,False,DRY,OPEN
31.4,True,MOIST,OPEN
27.46,False,MOIST,CLOSED
28.14,False,DRY,CLOSED
34.13,True,DRY,CLOSED
23.38,False,MOIST,CLOSED
24.13,True,DRY,CLOSED
31.49,False,DRY,OPEN
29.76,False,DRY,CLOSED
21.09,True,MOIST,OPEN
37.42,True,MOIST,OPEN
30.91,True,DRY,CLOSED
25.36,False,DRY,CLOSED
24.76,True,DRY,CLOSED
34.73,False,MOIST,OPEN
33.22,True,DRY,CLOSED
22.36,False,MOIST,CLOSED
23.36,True,MOIST,OPEN
20.93,True,MOIST,OPEN
38.84,True,DRY,CLOSED
30.23,True,DRY,CLOSED
35.61,False,MOIST,OPEN
31.7,True,DRY,CLOSED
27.13,True,MOIST,OPEN
36.92,True,MOIST,OPEN
38.46,False,DRY,OPEN
33.36,True,DRY,CLOSED
23.34,True,MOIST,OPEN
31.44,True,DRY,CLOSED
38.51,True,MOIST,OPEN
31.57,True,DRY,CLOSED
32.62,True,DRY,CLOSED
25.25,True,DRY,CLOSED
27.32,True,MOIST,OPEN
35.04,True,DRY,CLOSED
36.53,True,DRY,CLOSED
20.42,True,DRY,CLOSED
37.41,True,DRY,CLOSED
35.87,True,DRY,CLOSED
38.59,False,MOIST,OPEN
30.48,True,DRY,CLOSED
26.7,True,MOIST,OPEN
29.43,False,DRY,CLOSED
39.06,True,DRY,CLOSED
33.03,False,DRY,OPEN
25.29,False,MOIST,CLOSED
27.18,True,MOIST,OPEN
25.18,False,DRY,CLOSED
35.92,False,MOIST,OPEN
32.32,False,MOIST,OPEN
23.06,False,DRY,CLOSED
20.26,True,DRY,CLOSED
20.67,False,MOIST,CLOSED
30.29,True,DRY,CLOSED
30.51,True,DRY,CLOSED
21.76,True,DRY,CLOSED
29.91,True,MOIST,OPEN
28.22,False,DRY,CLOSED
28.02,False,DRY,CLOSED
31.61,False,DRY,OPEN
31.55,True,DRY,CLOSED
25.21,True,DRY,CLOSED
27.54,True,DRY,CLOSED
39.26,False,MOIST,OPEN
38.9,True,MOIST,OPEN
34.05,True,DRY,CLOSED
31.35,False,DRY,OPEN
33.42,False,DRY,OPEN
31.81,False,MOIST,OPEN
32.99,False,MOIST,OPEN
39.8,True,DRY,CLOSED
39.38,False,DRY,OPEN
22.49,True,DRY,CLOSED
29.52,True,MOIST,OPEN
25.1,True,DRY,CLOSED
36.26,True,DRY,CLOSED
25.78,False,MOIST,CLOSED
25.65,True,MOIST,OPEN
23.3,False,DRY,CLOSED
20.07,False,DRY,CLOSED
33.34,True,MOIST,OPEN
34.16,False,DRY,OPEN
27.67,True,DRY,CLOSED
31.31,False,DRY,OPEN
32.05,False,MOIST,OPEN
23.2,True,MOIST,OPEN
25.89,True,MOIST,OPEN
21.42,True,DRY,CLOSED
38.12,False,DRY,OPEN
37.87,True,MOIST,OPEN
27.49,False,DRY,CLOSED
22.9,True,DRY,CLOSED
25.84,False,MOIST,CLOSED
20.45,True,MOIST,OPEN
30.88,False,DRY,OPEN
28.51,False,MOIST,CLOSED
33.04,False,MOIST,OPEN
39.12,True,DRY,CLOSED
38.46,True,DRY,CLOSED
39.1,True,DRY,CLOSED
31.2,True,MOIST,OPEN
30.9,False,MOIST,OPEN
35.09,False,DRY,OPEN
22.88,True,MOIST,OPEN
36.83,True,MOIST,OPEN
27.87,False,DRY,CLOSED
38.65,True,MOIST,OPEN
26.35,True,DRY,CLOSED
20.7,False,DRY,CLOSED
30.28,False,MOIST,OPEN
36.83,True,MOIST,OPEN
34.89,False,MOIST,OPEN
38.59,True,MOIST,OPEN
35.33,False,DRY,OPEN
35.51,False,DRY,OPEN
25.85,True,MOIST,OPEN
35.01,False,MOIST,OPEN
32.75,False,DRY,OPEN
27.01,False,MOIST,CLOSED
22.41,True,MOIST,OPEN
22.14,False,DRY,CLOSED
35.69,False,DRY,OPEN
23.5,True,MOIST,OPEN
25.42,False,DRY,CLOSED
23.62,True,DRY,CLOSED
34.88,True,MOIST,OPEN
29.66,False,DRY,CLOSED
37.33,True,DRY,CLOSED
30.61,False,DRY,OPEN
33.69,True,DRY,CLOSED
31.15,True,MOIST,OPEN
21.58,False,MOIST,CLOSED
23.67,True,MOIST,OPEN
35.38,False,DRY,OPEN
26.96,False,MOIST,CLOSED
36.47,True,DRY,CLOSED
20.95,False,DRY,CLOSED
38.15,True,DRY,CLOSED
25.69,False,MOIST,CLOSED
33.7,True,MOIST,OPEN
34.46,False,DRY,OPEN
36.1,False,MOIST,OPEN
22.13,True,MOIST,OPEN
26.17,True,DRY,CLOSED
24.11,True,DRY,CLOSED
36.72,False,DRY,OPEN
32.38,True,MOIST,OPEN
25.59,True,DRY,CLOSED
31.33,True,DRY,CLOSED
21.56,False,DRY,CLOSED
33.53,False,MOIST,OPEN
26.86,False,MOIST,CLOSED
39.36,True,DRY,CLOSED
27.27,True,MOIST,OPEN
22.73,True,MOIST,OPEN
20.36,False,MOIST,CLOSED
31.02,False,MOIST,OPEN
31.22,False,DRY,OPEN
28.92,False,DRY,CLOSED
31.89,True,MOIST,OPEN
23.58,False,MOIST,CLOSED
36.65,False,DRY,OPEN
